(time)	1 Max  (°C)	1 Mean  (°C)
16:48:16.735	1467.64	1428.87
16:48:16.754	1470.03	1429.03
16:48:16.774	1467.04	1425.68
16:48:16.794	1463.44	1421.82
16:48:16.814	1460.44	1420.46
16:48:16.834	1464.64	1422.68
16:48:16.854	1466.44	1427.45
16:48:16.875	1475.41	1434.90
16:48:16.894	1467.04	1428.67
16:48:16.915	1474.22	1432.15
16:48:16.934	1468.84	1432.31
16:48:16.954	1474.22	1433.17
16:48:16.974	1472.43	1433.47
16:48:16.994	1474.22	1434.95
16:48:17.014	1474.82	1436.93
16:48:17.034	1468.84	1433.35
16:48:17.055	1467.64	1430.24
16:48:17.074	1473.62	1432.59
16:48:17.095	1474.82	1433.59
16:48:17.114	1474.82	1435.37
16:48:17.134	1474.22	1436.32
16:48:17.154	1476.01	1436.93
16:48:17.174	1472.43	1436.27
16:48:17.194	1474.82	1435.46
16:48:17.214	1474.82	1436.57
16:48:17.235	1476.01	1435.76
16:48:17.254	1478.99	1439.56
16:48:17.274	1476.01	1436.38
16:48:17.294	1479.59	1440.46
16:48:17.314	1478.40	1437.62
16:48:17.334	1477.20	1436.29
16:48:17.354	1481.97	1439.12
16:48:17.375	1480.78	1441.53
16:48:17.394	1480.19	1440.52
16:48:17.415	1481.97	1442.01
16:48:17.434	1478.40	1439.95
16:48:17.454	1482.57	1440.54
16:48:17.474	1484.35	1443.98
16:48:17.494	1482.57	1445.01
16:48:17.514	1481.38	1444.52
16:48:17.534	1481.38	1446.01
16:48:17.555	1486.73	1449.30
16:48:17.574	1486.13	1446.65
16:48:17.595	1482.57	1449.89
16:48:17.614	1487.32	1454.47
16:48:17.634	1491.48	1456.05
16:48:17.654	1488.51	1452.14
16:48:17.674	1486.73	1452.40
16:48:17.694	1486.13	1452.01
16:48:17.714	1487.32	1450.98
16:48:17.735	1490.29	1454.99
16:48:17.754	1490.88	1453.35
16:48:17.774	1490.88	1452.34
16:48:17.794	1486.73	1452.42
16:48:17.814	1488.51	1452.40
16:48:17.834	1490.29	1451.36
16:48:17.854	1487.32	1452.80
16:48:17.875	1488.51	1455.14
16:48:17.894	1484.35	1447.31
16:48:17.915	1481.38	1445.75
16:48:17.934	1477.80	1442.19
16:48:17.954	1481.97	1446.01
16:48:17.974	1481.38	1444.74
16:48:17.994	1483.76	1449.17
16:48:18.014	1489.10	1453.50
16:48:18.034	1492.07	1458.15
16:48:18.055	1494.44	1460.78
16:48:18.074	1501.53	1467.48
16:48:18.095	1497.99	1461.04
16:48:18.114	1499.76	1466.89
16:48:18.134	1493.85	1467.43
16:48:18.154	1501.53	1471.25
16:48:18.174	1499.76	1470.22
16:48:18.194	1505.07	1472.04
16:48:18.214	1507.42	1472.45
16:48:18.235	1505.07	1472.07
16:48:18.254	1511.54	1478.81
16:48:18.274	1516.23	1477.90
16:48:18.294	1516.82	1483.20
16:48:18.314	1503.30	1465.46
16:48:18.334	1519.75	1483.98
16:48:18.354	1525.01	1493.19
16:48:18.375	1533.17	1498.87
16:48:18.394	1530.26	1497.50
16:48:18.415	1527.34	1495.15
16:48:18.434	1521.50	1486.87
16:48:18.454	1520.92	1485.73
16:48:18.474	1528.51	1493.00
16:48:18.494	1533.17	1495.55
16:48:18.514	1530.84	1495.39
16:48:18.534	1531.42	1496.55
16:48:18.555	1530.26	1497.13
16:48:18.574	1531.42	1498.01
16:48:18.595	1536.08	1499.99
16:48:18.614	1537.24	1501.02
16:48:18.634	1534.91	1499.84
16:48:18.654	1536.66	1501.06
16:48:18.674	1536.66	1501.76
16:48:18.694	1531.42	1497.81
16:48:18.714	1532.59	1497.85
16:48:18.735	1533.75	1500.01
16:48:18.754	1530.84	1497.11
16:48:18.774	1530.84	1496.04
16:48:18.794	1534.33	1498.05
16:48:18.814	1530.26	1497.05
16:48:18.834	1533.17	1499.90
16:48:18.854	1525.01	1493.39
16:48:18.875	1535.50	1498.81
16:48:18.894	1536.08	1500.23
16:48:18.915	1543.04	1503.96
16:48:18.934	1538.98	1504.45
16:48:18.954	1540.72	1504.08
16:48:18.974	1536.08	1503.59
16:48:18.994	1543.62	1509.58
16:48:19.014	1547.67	1510.58
16:48:19.034	1540.72	1506.48
16:48:19.055	1544.20	1508.98
16:48:19.074	1547.09	1511.33
16:48:19.095	1542.46	1511.31
16:48:19.114	1538.98	1506.06
16:48:19.134	1544.20	1512.55
16:48:19.154	1543.04	1511.15
16:48:19.174	1527.34	1495.78
16:48:19.194	1514.47	1482.43
16:48:19.214	1537.82	1499.42
16:48:19.235	1535.50	1499.77
16:48:19.254	1534.33	1500.58
16:48:19.274	1534.33	1500.97
16:48:19.294	1533.17	1498.77
16:48:19.314	1531.42	1498.14
16:48:19.334	1527.93	1496.46
16:48:19.354	1535.50	1501.56
16:48:19.375	1533.17	1503.98
16:48:19.394	1540.72	1507.55
16:48:19.415	1534.91	1507.24
16:48:19.434	1538.98	1508.84
16:48:19.454	1537.82	1508.80
16:48:19.474	1512.71	1478.24
16:48:19.494	1525.01	1496.15
16:48:19.514	1534.91	1502.34
16:48:19.534	1532.59	1503.66
16:48:19.555	1539.56	1507.67
16:48:19.574	1538.98	1508.34
16:48:19.595	1544.20	1509.27
