(time)	1 Max  (°C)
17:14:49.924	1856.41
17:14:49.944	1856.41
17:14:49.964	1856.76
17:14:49.985	1859.17
17:14:50.004	1857.10
17:14:50.025	1859.52
17:14:50.044	1857.79
17:14:50.065	1862.62
17:14:50.084	1865.04
17:14:50.104	1864.35
17:14:50.125	1868.82
17:14:50.144	1867.44
17:14:50.165	1872.25
17:14:50.184	1864.35
17:14:50.205	1865.38
17:14:50.224	1857.10
17:14:50.245	1857.79
17:14:50.264	1860.55
17:14:50.284	1865.38
17:14:50.305	1863.31
17:14:50.324	1862.62
17:14:50.345	1865.04
17:14:50.364	1869.16
17:14:50.385	1867.44
17:14:50.404	1872.25
17:14:50.424	1875.68
17:14:50.444	1882.86
17:14:50.464	1881.50
17:14:50.485	1887.98
17:14:50.504	1891.04
17:14:50.525	1889.68
17:14:50.544	1885.25
17:14:50.565	1884.91
17:14:50.584	1877.39
17:14:50.604	1871.22
17:14:50.625	1864.69
17:14:50.644	1864.00
17:14:50.665	1861.93
17:14:50.684	1858.14
17:14:50.705	1855.37
17:14:50.724	1852.95
17:14:50.745	1851.91
17:14:50.764	1853.30
17:14:50.784	1858.83
17:14:50.805	1857.10
17:14:50.824	1864.00
17:14:50.845	1868.48
17:14:50.864	1872.94
17:14:50.885	1874.65
17:14:50.904	1878.42
17:14:50.924	1878.42
17:14:50.944	1873.97
17:14:50.964	1866.41
17:14:50.985	1869.85
17:14:51.004	1875.34
17:14:51.025	1883.89
17:14:51.044	1884.57
17:14:51.065	1888.66
17:14:51.084	1889.00
17:14:51.104	1884.91
17:14:51.125	1881.84
17:14:51.144	1877.39
17:14:51.165	1876.02
17:14:51.184	1874.65
17:14:51.205	1879.10
17:14:51.224	1881.84
17:14:51.245	1876.71
17:14:51.264	1884.23
17:14:51.284	1887.30
17:14:51.305	1890.02
17:14:51.324	1891.04
17:14:51.345	1892.06
17:14:51.364	1899.86
17:14:51.385	1900.88
17:14:51.404	1898.51
17:14:51.424	1890.36
17:14:51.444	1874.65
17:14:51.464	1872.94
17:14:51.485	1863.66
17:14:51.504	1864.69
17:14:51.525	1856.41
17:14:51.544	1850.18
17:14:51.565	1848.79
17:14:51.584	1847.40
17:14:51.604	1849.14
17:14:51.625	1853.64
17:14:51.644	1853.99
17:14:51.665	1864.00
17:14:51.684	1868.13
17:14:51.705	1869.85
17:14:51.724	1879.45
17:14:51.745	1879.10
17:14:51.764	1876.37
17:14:51.784	1873.97
17:14:51.805	1869.16
17:14:51.824	1866.41
17:14:51.845	1857.10
17:14:51.864	1856.41
17:14:51.885	1853.30
17:14:51.904	1854.68
17:14:51.924	1853.30
17:14:51.944	1856.41
17:14:51.964	1852.26
17:14:51.985	1855.72
17:14:52.004	1849.83
17:14:52.025	1849.49
17:14:52.044	1849.83
17:14:52.065	1846.36
17:14:52.084	1841.84
17:14:52.104	1845.67
17:14:52.125	1845.32
17:14:52.144	1842.54
17:14:52.165	1841.84
17:14:52.184	1848.10
17:14:52.205	1848.79
17:14:52.224	1847.06
17:14:52.245	1840.80
17:14:52.264	1845.32
17:14:52.284	1845.32
17:14:52.305	1841.49
17:14:52.324	1846.71
17:14:52.345	1850.53
17:14:52.364	1852.60
17:14:52.385	1851.91
17:14:52.404	1848.79
17:14:52.424	1852.26
17:14:52.444	1849.14
17:14:52.464	1853.64
17:14:52.485	1851.91
17:14:52.504	1864.00
17:14:52.525	1863.31
17:14:52.544	1857.10
17:14:52.565	1858.83
17:14:52.584	1859.17
17:14:52.604	1859.17
17:14:52.625	1857.45
17:14:52.644	1857.79
17:14:52.665	1857.10
17:14:52.684	1854.34
17:14:52.705	1855.03
17:14:52.724	1849.49
17:14:52.745	1851.22
17:14:52.764	1850.53
17:14:52.784	1852.60
17:14:52.805	1856.06
17:14:52.824	1859.17
17:14:52.845	1859.17
17:14:52.864	1860.55
17:14:52.885	1851.91
17:14:52.904	1855.37
17:14:52.924	1857.45
17:14:52.944	1856.76
17:14:52.964	1853.99
17:14:52.985	1859.17
17:14:53.004	1857.10
17:14:53.025	1864.00
17:14:53.044	1864.35
17:14:53.065	1867.79
17:14:53.084	1875.34
17:14:53.104	1877.74
17:14:53.125	1877.74
17:14:53.144	1882.52
17:14:53.165	1882.18
17:14:53.184	1886.61
17:14:53.205	1881.50
17:14:53.224	1880.47
17:14:53.245	1869.85
17:14:53.264	1870.88
17:14:53.284	1876.37
17:14:53.305	1875.68
17:14:53.324	1875.34
17:14:53.345	1874.65
17:14:53.364	1872.25
17:14:53.385	1865.72
17:14:53.404	1866.76
17:14:53.424	1867.79
17:14:53.444	1858.48
17:14:53.464	1862.28
17:14:53.485	1862.62
17:14:53.504	1857.45
17:14:53.525	1856.06
17:14:53.544	1857.10
17:14:53.565	1850.87
17:14:53.584	1847.40
17:14:53.604	1850.53
17:14:53.625	1850.87
17:14:53.644	1846.36
17:14:53.665	1848.79
17:14:53.684	1849.83
17:14:53.705	1851.57
